,exchangeRate,istVol,marketValue,negotiableValue,profitRate,trdAmt,trdTm,trdVol,searchDate
0,0.3905,413,10331.71,2797.67,34.61,11.59,18.6,11939.82,1999-01-04
1,0.5293,0,10279.69,2787.42,,15.35,25.29,16190.71,1999-01-05
2,0.6505,413,10396.33,2823.19,34.81,19.57,27.08,19899.45,1999-01-06
3,0.7347,413,10467.37,2845.68,35.27,22.45,33.48,22519.85,1999-01-07
4,0.9837,413,10752.65,2920.13,36.24,32.39,43.24,30152.9,1999-01-08
5,0.8513,426,10787.5,2927.98,,29.19,37.88,26096.74,1999-01-11
6,0.9692,413,10663.55,2900.22,35.94,33.35,41.57,29732.48,1999-01-12
7,0.9481,413,10567.11,2876.37,35.61,30.26,39.68,29092.63,1999-01-13
8,0.7336,413,10573.83,2880.41,35.66,23.71,31.16,22511.3,1999-01-14
9,0.9814,413,10481.67,2857.67,35.32,31.5,41.65,30163.07,1999-01-15
10,1.0398,413,10626.95,2905.34,35.82,33.62,44.57,31957.84,1999-01-18
11,1.087,416,10691.65,2924.7,35.98,34.54,48.55,33479.28,1999-01-19
12,0.7774,416,10627.8,2904.19,35.77,24.45,33.8,23945.09,1999-01-20
13,0.8454,416,10694.17,2924.55,35.99,26.38,35.67,26039.94,1999-01-21
14,1.1864,416,10729.42,2927.28,34.9,35.91,47.78,36540.34,1999-01-22
15,1.0331,416,10628.86,2895.59,34.48,29.06,44.49,31923.0,1999-01-25
16,0.8452,416,10537.15,2872.33,34.18,25.35,35.23,26116.77,1999-01-26
17,0.873,416,10611.93,2891.85,34.41,25.2,34.8,26976.64,1999-01-27
18,1.1279,416,10571.7,2885.33,34.24,33.97,47.63,34924.92,1999-01-28
19,0.9426,416,10518.86,2872.86,34.03,28.25,39.41,29217.77,1999-01-29
20,0.8475,416,10387.1,2840.32,33.6,25.28,37.68,26282.33,1999-02-01
21,0.71,416,10443.23,2857.5,33.78,21.85,29.64,22034.1,1999-02-02
22,0.7254,416,10423.06,2851.28,33.47,22.41,31.8,22635.8,1999-02-03
23,0.6997,416,10297.94,2814.05,33.06,21.03,31.46,21834.88,1999-02-04
24,0.75,416,10092.84,2757.73,32.4,22.11,34.5,23412.89,1999-02-05
25,0.6653,416,9947.79,2721.41,31.93,19.09,30.36,20779.3,1999-02-08
26,0.6261,430,10171.11,2784.4,,17.92,27.3,19553.86,1999-02-09
27,0.5627,416,10245.74,2801.93,32.86,15.66,23.29,17575.34,1999-03-01
28,0.741,416,10280.96,2808.47,32.95,20.65,29.69,23159.86,1999-03-02
29,1.1281,416,10543.72,2882.63,33.79,31.56,44.87,35259.77,1999-03-03
30,1.0795,416,10546.87,2886.28,33.78,31.08,45.03,33769.67,1999-03-04
31,1.0722,416,10584.04,2899.02,33.89,30.57,43.18,33594.49,1999-03-05
32,1.0813,416,10678.85,2927.57,34.19,30.9,44.29,33949.0,1999-03-08
33,1.239,416,10631.85,2918.51,34.05,39.82,49.52,38911.88,1999-03-09
34,0.965,416,10591.85,2909.86,33.92,30.12,39.01,30307.45,1999-03-10
35,1.288,430,10747.14,2951.72,,39.52,50.56,40479.4,1999-03-11
36,1.5959,416,10874.39,2975.24,34.65,44.62,64.36,50401.54,1999-03-12
37,1.6971,416,10934.4,2992.6,34.82,49.84,70.35,53644.3,1999-03-15
38,1.3601,416,10960.91,3000.39,34.83,40.14,56.32,43018.47,1999-03-16
39,1.7549,416,10887.11,2978.27,34.39,49.43,63.27,55547.81,1999-03-17
40,1.2155,416,10818.54,2966.96,34.16,36.62,47.74,38627.9,1999-03-18
41,1.6786,416,11051.51,3034.82,34.79,56.5,63.39,53498.27,1999-03-19
42,1.7966,416,11043.51,3030.13,34.77,55.79,70.81,57269.06,1999-03-22
43,1.1701,416,11024.77,3028.56,34.78,37.1,47.52,37300.51,1999-03-23
44,1.1892,416,11003.07,3023.97,34.63,37.68,47.37,37983.1,1999-03-24
45,1.1597,416,10901.74,2995.39,34.27,37.3,48.19,37094.2,1999-03-25
46,1.0698,416,10943.67,3006.12,34.4,35.15,41.92,34218.88,1999-03-26
47,1.2225,416,11026.44,3027.92,34.62,39.63,49.18,39161.18,1999-03-29
48,1.0831,416,10917.7,3002.46,34.29,33.87,42.63,34738.81,1999-03-30
